Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
10% OTM/45/14,0.0865748445076524,0.2962995990030312,0.4278930277845711,-0.453915497647981,0.19072899021128517,10% OTM,45,14,29,0,12,0.4904,0.0854
10% OTM/45/21,-0.011022997381590738,0.3235197174781157,0.12617431216210598,-0.6091902824322162,-0.018094506264251273,10% OTM,45,21,35,0,15,0.7867,0.0854
10% OTM/45/30,-0.051734650227734824,0.3409444230886132,0.012048123936428705,-0.593476597054237,-0.08717218249973699,10% OTM,45,30,28,0,23,1.244,0.0854
10% OTM/60/3,0.22764814186849436,0.34263241251467363,0.7720328149295399,-0.30115423721965673,0.7559187742806079,10% OTM,60,3,29,0,8,0.4425,0.0854
10% OTM/60/5,0.2931555995340802,0.30184622998890087,1.0052004099440386,-0.21894434964736353,1.3389502857974773,10% OTM,60,5,33,0,9,0.4231,0.0854
10% OTM/60/7,0.2931555995340802,0.30184622998890087,1.0052004099440386,-0.21894434964736353,1.3389502857974773,10% OTM,60,7,33,0,9,0.4231,0.0854
10% OTM/60/10,0.24813252285668952,0.30648521937539847,0.8781819913760918,-0.22141215256863533,1.1206815885129484,10% OTM,60,10,29,0,9,0.4229,0.0854
10% OTM/60/14,0.1312647753601388,0.3220099481277594,0.5437660991688607,-0.3650116032127724,0.3596180894107687,10% OTM,60,14,27,0,13,0.5289,0.0854
10% OTM/60/21,0.06428442606311502,0.3391307807663619,0.35286660619046345,-0.4728120851418407,0.13596189286031066,10% OTM,60,21,32,0,19,0.6921,0.0854
10% OTM/60/30,-0.16597599225369486,0.42627097224961147,-0.21543081113732396,-0.7289137298305335,-0.22770320472943065,10% OTM,60,30,29,0,30,1.2874,0.0854
10% OTM/60/45,-1.0,6.847690156070163,0.6959970107036755,-1.7086911436956191,-0.585243274473328,10% OTM,60,45,23,0,32,2.4109,0.0854
10% OTM/90/3,0.250046071472795,0.3533822901256379,0.8083874305205065,-0.4005939197491837,0.6241883841605774,10% OTM,90,3,31,0,5,0.5893,0.0854
10% OTM/90/5,0.33296220544542066,0.33942567708092747,1.0164794304319684,-0.2052893015139413,1.6219169873438777,10% OTM,90,5,29,0,10,0.5427,0.0854
10% OTM/90/7,0.33296220544542066,0.33942567708092747,1.0164794304319684,-0.2052893015139413,1.6219169873438777,10% OTM,90,7,29,0,10,0.5427,0.0854
10% OTM/90/10,0.2562729305087732,0.33093376811796177,0.8560219840502219,-0.2048004125679067,1.2513301477056327,10% OTM,90,10,24,0,9,0.4389,0.0854
10% OTM/90/14,0.15266226102017244,0.3511206091471809,0.5799003206946978,-0.2721045037473223,0.5610427571677955,10% OTM,90,14,24,0,13,0.3987,0.0854
10% OTM/90/21,-0.01946261090090118,0.41749605271813106,0.16100698142106062,-0.5234733359975872,-0.03717975599236804,10% OTM,90,21,25,0,18,0.7854,0.0854
10% OTM/90/30,-0.05293511120447125,0.40820460065349806,0.06888472555905964,-0.5552180427707415,-0.09534112209377356,10% OTM,90,30,24,0,30,0.7652,0.0854
10% OTM/90/45,-0.11927400684785538,0.35776348161929844,-0.17931733679985673,-0.6495248350319632,-0.1836327118146081,10% OTM,90,45,17,0,32,0.6347,0.0854
10% OTM/90/60,-1.0,8.750219007622205,-0.39309830271621016,-1.1027545846471187,-0.9068200793923699,10% OTM,90,60,15,0,43,1.6885,0.0854
10% OTM/120/3,0.16548524497132533,0.3321968246763841,0.6278410557502878,-0.2602864672770452,0.6357812094594423,10% OTM,120,3,18,0,5,0.3752,0.0854
10% OTM/120/5,-0.0029648070534642468,0.40586566234098204,0.1961900711031545,-0.5537513360831692,-0.005354040451505034,10% OTM,120,5,17,0,7,0.5708,0.0854
10% OTM/120/7,-0.0029648070534642468,0.40586566234098204,0.1961900711031545,-0.5537513360831692,-0.005354040451505034,10% OTM,120,7,17,0,7,0.5708,0.0854
10% OTM/120/10,0.09182442922799905,0.35000396694236524,0.4257646656121491,-0.2769706884781389,0.3315312162905884,10% OTM,120,10,16,0,8,0.3306,0.0854
