Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses
10% OTM/45/5,0.33309100319969653,0.26720787292379705,1.2134172218693986,-0.22930259643266782,1.4526263914220658,10% OTM,45,5,44,0
10% OTM/45/7,0.33309100319969653,0.26720787292379705,1.2134172218693986,-0.22930259643266782,1.4526263914220658,10% OTM,45,7,44,0
10% OTM/45/10,0.19146487015101,0.2687541565987918,0.7875765402970123,-0.34875289589465297,0.5489986532150413,10% OTM,45,10,45,0
10% OTM/45/14,0.16817575288665676,0.27420580776358155,0.7050834943731235,-0.35401228663189066,0.4750562600148661,10% OTM,45,14,38,0
10% OTM/45/21,0.17172922996790407,0.283669811089417,0.7019670258124173,-0.33687562827724005,0.509770418377002,10% OTM,45,21,44,0
10% OTM/45/30,0.21351322570049058,0.25858756346650674,0.8799986308251025,-0.21135535348982737,1.0102096879735156,10% OTM,45,30,37,0
10% OTM/60/3,0.27357813870625725,0.3113716324141853,0.9348309056381547,-0.2926751756273077,0.934750062487812,10% OTM,60,3,39,0
10% OTM/60/5,0.33809112693807575,0.28184051541922506,1.1779190386837413,-0.206182043754794,1.6397699856936,10% OTM,60,5,39,0
10% OTM/60/7,0.33809112693807575,0.28184051541922506,1.1779190386837413,-0.206182043754794,1.6397699856936,10% OTM,60,7,39,0
10% OTM/60/10,0.28832300638615616,0.27317757788206903,1.0669424712040467,-0.22396574911013634,1.2873531222150034,10% OTM,60,10,36,0
10% OTM/60/14,0.2412470992127802,0.27721401283604635,0.9203552690287485,-0.25683964989204633,0.939290718213407,10% OTM,60,14,32,0
10% OTM/60/21,0.15387001801267441,0.299090644922934,0.6292723345036325,-0.3360821307530306,0.45783457057925386,10% OTM,60,21,39,0
10% OTM/60/30,0.15462391668083253,0.28136744400316865,0.652497127012001,-0.27333988303191625,0.5656837010601121,10% OTM,60,30,37,0
10% OTM/60/45,0.0529157383684935,0.2490418654395475,0.3298330686620032,-0.3908440424485937,0.13538837137437834,10% OTM,60,45,30,0
10% OTM/90/3,0.3024298999847643,0.3180104124286301,0.9906577021878464,-0.31482866723245806,0.9606174134119149,10% OTM,90,3,32,0
10% OTM/90/5,0.2904151839048432,0.2879658633241504,1.0318779766366932,-0.25069243004149844,1.1584521473455311,10% OTM,90,5,33,0
10% OTM/90/7,0.2904151839048432,0.2879658633241504,1.0318779766366932,-0.25069243004149844,1.1584521473455311,10% OTM,90,7,33,0
10% OTM/90/10,0.29917860184185274,0.28790427560020854,1.05563278247146,-0.1751448332951825,1.7081782900077243,10% OTM,90,10,30,0
10% OTM/90/14,0.18743947475377687,0.3071206510760191,0.7136105873166004,-0.2694987823053343,0.6955113976782774,10% OTM,90,14,29,0
10% OTM/90/21,0.1450172385994808,0.32176671015333225,0.5823770987558268,-0.24176814604338026,0.5998194591501746,10% OTM,90,21,29,0
10% OTM/90/30,0.18873280024733852,0.3065197321141806,0.717970240191478,-0.20296392511259675,0.9298834763007103,10% OTM,90,30,27,0
10% OTM/90/45,0.05273144959562526,0.28542557978014005,0.322003917456309,-0.36320830674821025,0.14518238877223888,10% OTM,90,45,20,0
10% OTM/90/60,0.12116915490588931,0.2748050865065447,0.5544554085532506,-0.18294469655111967,0.6623266877377415,10% OTM,90,60,17,0
10% OTM/120/3,0.16756795961242843,0.2846684600340109,0.6875057057656189,-0.2282771664857367,0.7340548430317864,10% OTM,120,3,23,0
